a/a	LAT	LON	Soil_cond	k	crustal amplification file	input_file
267	40.65055	22.9685	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
268	40.64778	22.973	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
269	40.64501	22.9775	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
270	40.64224	22.982	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
271	40.63947	22.9865	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
272	40.6367	22.991	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
273	40.63393	22.9955	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
274	40.63117	23	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
275	40.67996	22.928	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
276	40.67719	22.9325	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
277	40.67443	22.937	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
278	40.67166	22.9415	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
279	40.66889	22.946	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
280	40.66612	22.9505	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
281	40.66335	22.955	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
282	40.66058	22.9595	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
283	40.65781	22.964	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
284	40.65505	22.9685	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
285	40.65228	22.973	soft-soil	0.044	crustal_amps_sample.txt	site_amps_d_klimis.txt
